date,time,code,open,high,low,close,volume,amount,adjustflag
2022-04-08,20220408110000000,sh.600000,8.0600,8.0700,8.0200,8.0400,2201325,17715391.0000,3
2022-04-08,20220408113000000,sh.600000,8.0400,8.0700,8.0400,8.0500,1495500,12044764.0000,3
2022-04-08,20220408133000000,sh.600000,8.0600,8.1100,8.0500,8.1100,2919635,23599711.0000,3
2022-04-08,20220408140000000,sh.600000,8.1000,8.1200,8.0900,8.1100,2294500,18595338.0000,3
2022-04-08,20220408143000000,sh.600000,8.1100,8.1100,8.0900,8.1100,1800789,14586190.0000,3
2022-04-08,20220408150000000,sh.600000,8.1100,8.1100,8.0900,8.1100,2657133,21532477.0000,3
2022-04-11,20220411100000000,sh.600000,8.1100,8.1100,8.0300,8.0500,5479518,44120528.0000,3
2022-04-11,20220411103000000,sh.600000,8.0500,8.0700,8.0200,8.0200,3849842,30947324.0000,3
2022-04-11,20220411110000000,sh.600000,8.0200,8.0300,7.9700,8.0200,4774223,38228705.0000,3
2022-04-11,20220411113000000,sh.600000,8.0200,8.0800,8.0100,8.0700,3130200,25191982.0000,3
2022-04-11,20220411133000000,sh.600000,8.0600,8.0700,8.0200,8.0300,1315921,10583546.0000,3
2022-04-11,20220411140000000,sh.600000,8.0300,8.0400,8.0100,8.0300,1661753,13333446.0000,3
2022-04-11,20220411143000000,sh.600000,8.0300,8.0400,8.0000,8.0000,2463601,19751165.0000,3
2022-04-11,20220411150000000,sh.600000,8.0100,8.0400,8.0000,8.0100,7340621,58840752.0000,3
2022-04-12,20220412100000000,sh.600000,8.0200,8.0500,7.9800,7.9800,6924200,55467434.0000,3
2022-04-12,20220412103000000,sh.600000,7.9800,8.0100,7.9800,7.9900,2484323,19871512.0000,3
2022-04-12,20220412110000000,sh.600000,8.0000,8.0200,7.9900,8.0100,2376493,19039371.0000,3
2022-04-12,20220412113000000,sh.600000,8.0000,8.0200,8.0000,8.0100,1860090,14902165.0000,3
2022-04-12,20220412133000000,sh.600000,8.0000,8.1400,7.9800,8.1200,7536031,60767124.0000,3
2022-04-12,20220412140000000,sh.600000,8.1200,8.1500,8.1000,8.1100,4444421,36145374.0000,3
2022-04-12,20220412143000000,sh.600000,8.1100,8.1300,8.1000,8.1000,2311160,18744281.0000,3
2022-04-12,20220412150000000,sh.600000,8.1000,8.1100,8.0800,8.1100,3395221,27498057.0000,3
2022-04-13,20220413100000000,sh.600000,8.0900,8.1200,8.0500,8.0900,3256358,26330099.0000,3
2022-04-13,20220413103000000,sh.600000,8.0900,8.1300,8.0900,8.0900,2695630,21847726.0000,3
2022-04-13,20220413110000000,sh.600000,8.0900,8.0900,8.0700,8.0700,1633658,13196954.0000,3
2022-04-13,20220413113000000,sh.600000,8.0800,8.0900,8.0700,8.0900,1218400,9843226.0000,3
2022-04-13,20220413133000000,sh.600000,8.0900,8.1000,8.0800,8.0800,957100,7740584.0000,3
2022-04-13,20220413140000000,sh.600000,8.0800,8.1400,8.0800,8.1200,3040340,24677020.0000,3
2022-04-13,20220413143000000,sh.600000,8.1200,8.1300,8.0900,8.1100,1590000,12890095.0000,3
2022-04-13,20220413150000000,sh.600000,8.1100,8.1200,8.0900,8.1000,4109664,33323638.0000,3
2022-04-14,20220414100000000,sh.600000,8.1100,8.1400,8.1000,8.1100,3083606,25047720.0000,3
2022-04-14,20220414103000000,sh.600000,8.1100,8.1500,8.1000,8.1300,3206997,26090301.0000,3
2022-04-14,20220414110000000,sh.600000,8.1400,8.1400,8.1200,8.1200,1406183,11433710.0000,3
2022-04-14,20220414113000000,sh.600000,8.1300,8.1400,8.1200,8.1300,1178630,9582161.0000,3
2022-04-14,20220414133000000,sh.600000,8.1300,8.1400,8.1100,8.1300,1919561,15596077.0000,3
2022-04-14,20220414140000000,sh.600000,8.1200,8.1400,8.1100,8.1200,2374950,19295879.0000,3
2022-04-14,20220414143000000,sh.600000,8.1300,8.1400,8.1100,8.1300,3049045,24767095.0000,3
2022-04-14,20220414150000000,sh.600000,8.1300,8.1400,8.1100,8.1100,2754178,22354605.0000,3
2022-04-15,20220415100000000,sh.600000,8.1100,8.1500,8.0900,8.1300,4021276,32692501.0000,3
2022-04-15,20220415103000000,sh.600000,8.1400,8.1500,8.1300,8.1500,2174534,17702429.0000,3
2022-04-15,20220415110000000,sh.600000,8.1500,8.1700,8.1400,8.1600,2692820,21974532.0000,3
2022-04-15,20220415113000000,sh.600000,8.1700,8.1700,8.1400,8.1500,2190447,17867015.0000,3
2022-04-15,20220415133000000,sh.600000,8.1500,8.1800,8.1400,8.1700,2994400,24447919.0000,3
2022-04-15,20220415140000000,sh.600000,8.1700,8.1800,8.1600,8.1600,1715756,14013362.0000,3
2022-04-15,20220415143000000,sh.600000,8.1600,8.1800,8.1500,8.1600,2262400,18474066.0000,3
2022-04-15,20220415150000000,sh.600000,8.1500,8.1700,8.1500,8.1500,3760323,30677626.0000,3
2022-04-18,20220418100000000,sh.600000,8.1200,8.1400,8.0400,8.0500,6941000,56109630.0000,3
2022-04-18,20220418103000000,sh.600000,8.0500,8.0700,8.0100,8.0300,5224561,41954794.0000,3
2022-04-18,20220418110000000,sh.600000,8.0300,8.0500,8.0200,8.0300,1917104,15401272.0000,3
2022-04-18,20220418113000000,sh.600000,8.0400,8.0500,8.0400,8.0500,1475061,11861930.0000,3
2022-04-18,20220418133000000,sh.600000,8.0400,8.0500,8.0300,8.0400,1175839,9453771.0000,3
2022-04-18,20220418140000000,sh.600000,8.0400,8.0500,8.0300,8.0300,1225267,9844522.0000,3
2022-04-18,20220418143000000,sh.600000,8.0300,8.0500,8.0300,8.0400,1250530,10051201.0000,3
2022-04-18,20220418150000000,sh.600000,8.0300,8.0400,8.0300,8.0300,1813007,14561759.0000,3
2022-04-19,20220419100000000,sh.600000,8.0400,8.0700,8.0300,8.0400,4133400,33264846.0000,3
2022-04-19,20220419103000000,sh.600000,8.0400,8.0500,8.0300,8.0400,1993500,16022760.0000,3
2022-04-19,20220419110000000,sh.600000,8.0500,8.0700,8.0300,8.0600,1914798,15415595.0000,3
2022-04-19,20220419113000000,sh.600000,8.0600,8.0900,8.0500,8.0900,2053949,16573786.0000,3
2022-04-19,20220419133000000,sh.600000,8.0900,8.1000,8.0700,8.0800,2023875,16364985.0000,3
2022-04-19,20220419140000000,sh.600000,8.0800,8.1200,8.0700,8.1100,4725808,38220178.0000,3
2022-04-19,20220419143000000,sh.600000,8.1100,8.1300,8.0800,8.1000,3547299,28761602.0000,3
2022-04-19,20220419150000000,sh.600000,8.1000,8.1400,8.0800,8.1400,4171861,33862038.0000,3
2022-04-20,20220420100000000,sh.600000,8.1300,8.1500,8.0900,8.0900,4286030,34791050.0000,3
2022-04-20,20220420103000000,sh.600000,8.0900,8.1200,8.0900,8.1000,1661300,13461398.0000,3
2022-04-20,20220420110000000,sh.600000,8.1100,8.1200,8.0900,8.1100,1110400,8998973.0000,3
2022-04-20,20220420113000000,sh.600000,8.1100,8.1300,8.1000,8.1300,978819,7946489.0000,3
2022-04-20,20220420133000000,sh.600000,8.1300,8.1400,8.1200,8.1300,1263977,10277768.0000,3
2022-04-20,20220420140000000,sh.600000,8.1300,8.1400,8.1000,8.1000,2484069,20172126.0000,3
2022-04-20,20220420143000000,sh.600000,8.1000,8.1100,8.0800,8.0800,3706400,30002615.0000,3
2022-04-20,20220420150000000,sh.600000,8.0800,8.1100,8.0800,8.1100,3652940,29587865.0000,3
2022-04-21,20220421100000000,sh.600000,8.0800,8.1600,8.0700,8.1500,6102987,49666925.0000,3
